recording_id,recording_number,epoch_number,sample_index,native_time_seconds,published_time_seconds,measured_ecg_raw,predicted_ecg_raw,measured_ecg_normalized,predicted_ecg_normalized,difference_scaled
recording_01,1,3,21527,10.7635000,32.2918455,0.075351208448410034,0.11010000109672546,0.54885165074374731,0.54557524311043293,-0.0004914611449971573
recording_01,1,3,21528,10.7640000,32.2933456,0.075493946671485901,0.1103999987244606,0.54893654473871878,0.54572843599639653,-0.00048121631134833695
recording_01,1,3,21529,10.7645000,32.2948456,0.075636826455593109,0.11069999635219574,0.54902152292754691,0.54588162888236014,-0.00047098410677801625
recording_01,1,3,21530,10.7650000,32.2963457,0.075781218707561493,0.11100000143051147,0.54910740066126384,0.54603482557294025,-0.00046088626324853883
recording_01,1,3,21531,10.7655000,32.2978457,0.075929321348667145,0.1111999973654747,0.54919548516027439,0.54613695289537711,-0.00045877983973459098
recording_01,1,3,21532,10.7660000,32.2993458,0.076081007719039917,0.11140000075101852,0.54928570109323327,0.5462390840224306,-0.00045699256062040061
recording_01,1,3,21533,10.7665000,32.3008459,0.076233938336372375,0.11159999668598175,0.54937665704587901,0.54634121134486746,-0.00045531685515173278
recording_01,1,3,21534,10.7670000,32.3023459,0.076387874782085419,0.11180000007152557,0.54946821121803202,0.54644334247192083,-0.00045373031191667799
recording_01,1,3,21535,10.7675000,32.3038460,0.076544046401977539,0.11190000176429749,0.54956109476686787,0.54649440803544758,-0.00046000300971304472
recording_01,1,3,21536,10.7680000,32.3053461,0.076703675091266632,0.1120000034570694,0.54965603441830679,0.54654547359897432,-0.00046658412289987125
recording_01,1,3,21537,10.7685000,32.3068461,0.076869696378707886,0.11209999769926071,0.54975477608705881,0.54659653535788444,-0.00047373610937615494
recording_01,1,3,21538,10.7690000,32.3083462,0.077044226229190826,0.11209999769926071,0.54985857824971718,0.54659653535788444,-0.00048930643377491085
recording_01,1,3,21539,10.7695000,32.3098462,0.077227286994457245,0.11209999769926071,0.54996745420004867,0.54659653535788444,-0.00050563782632463412
recording_01,1,3,21540,10.7700000,32.3113463,0.077416151762008667,0.11209999769926071,0.55007978209850017,0.54659653535788444,-0.00052248701109235964
recording_01,1,3,21541,10.7705000,32.3128464,0.077606365084648132,0.11209999769926071,0.55019291205421705,0.54659653535788444,-0.00053945650444989224
recording_01,1,3,21542,10.7710000,32.3143464,0.077796600759029388,0.11209999769926071,0.55030605530370069,0.54659653535788444,-0.00055642799187243799
recording_01,1,3,21543,10.7715000,32.3158465,0.077986568212509155,0.11209999769926071,0.5504190390279825,0.54659653535788444,-0.00057337555051470976
recording_01,1,3,21544,10.7720000,32.3173466,0.078175157308578491,0.1120000034570694,0.55053120296997637,0.54654547359897432,-0.00059785940565030833
recording_01,1,3,21545,10.7725000,32.3188466,0.078363291919231415,0.1120000034570694,0.55064309660537814,0.54654547359897432,-0.00061464345096057249
recording_01,1,3,21546,10.7730000,32.3203467,0.078553095459938049,0.11190000176429749,0.55075598284203653,0.54649440803544758,-0.00063923622098834281
recording_01,1,3,21547,10.7735000,32.3218467,0.078745849430561066,0.11180000007152557,0.55087062385591623,0.54644334247192083,-0.0006640922075993094
recording_01,1,3,21548,10.7740000,32.3233468,0.078940063714981079,0.11180000007152557,0.55098613339589553,0.54644334247192083,-0.00068141863859620395
recording_01,1,3,21549,10.7745000,32.3248469,0.079131685197353363,0.11169999837875366,0.55110010085892269,0.54639227690839409,-0.00070617359257929004
recording_01,1,3,21550,10.7750000,32.3263469,0.079319991171360016,0.11159999668598175,0.55121209641320346,0.54634121134486746,-0.00073063276025039925
recording_01,1,3,21551,10.7755000,32.3278470,0.079505652189254761,0.11150000244379044,0.55132251887174277,0.54629014958595723,-0.00075485539286783139
recording_01,1,3,21552,10.7760000,32.3293471,0.079688437283039093,0.11150000244379044,0.55143123086561674,0.54629014958595723,-0.00077116219194892641
recording_01,1,3,21553,10.7765000,32.3308471,0.079869195818901062,0.11140000075101852,0.55153873755796479,0.5462390840224306,-0.00079494803033012813
recording_01,1,3,21554,10.7770000,32.3323472,0.080048203468322754,0.11129999905824661,0.55164520290524466,0.54618801845890386,-0.00081857766695112022
recording_01,1,3,21555,10.7775000,32.3338472,0.080225639045238495,0.11129999905824661,0.55175073325759072,0.54618801845890386,-0.00083440721980302941
recording_01,1,3,21556,10.7780000,32.3353473,0.080400928854942322,0.1111999973654747,0.55185498740832128,0.54613695289537711,-0.00085770517694162547
recording_01,1,3,21557,10.7785000,32.3368474,0.080573849380016327,0.1111999973654747,0.55195783241976792,0.54613695289537711,-0.00087313192865862144
recording_01,1,3,21558,10.7790000,32.3383474,0.08074544370174408,0.1111999973654747,0.55205988866771605,0.54613695289537711,-0.00088844036585083996
recording_01,1,3,21559,10.7795000,32.3398475,0.080916315317153931,0.1111999973654747,0.55216151508387001,0.54613695289537711,-0.00090368432827393481
recording_01,1,3,21560,10.7800000,32.3413476,0.08108607679605484,0.1111999973654747,0.55226248124293809,0.54613695289537711,-0.00091882925213414561
recording_01,1,3,21561,10.7805000,32.3428476,0.081253178417682648,0.1111999973654747,0.55236186544375354,0.54613695289537711,-0.00093373688225646396
recording_01,1,3,21562,10.7810000,32.3443477,0.081416130065917969,0.1111999973654747,0.55245878143519433,0.54613695289537711,-0.00094827428097258302
recording_01,1,3,21563,10.7815000,32.3458477,0.081574790179729462,0.11129999905824661,0.55255314502340391,0.54618801845890386,-0.00095476898467500846
recording_01,1,3,21564,10.7820000,32.3473478,0.081730872392654419,0.11129999905824661,0.55264597539717253,0.54618801845890386,-0.0009686935407403007
recording_01,1,3,21565,10.7825000,32.3488479,0.081884227693080902,0.11140000075101852,0.55273718393138804,0.5462390840224306,-0.0009747149863436166
recording_01,1,3,21566,10.7830000,32.3503479,0.082031078636646271,0.11150000244379044,0.55282452397945614,0.54629014958595723,-0.00098015615902483631
recording_01,1,3,21567,10.7835000,32.3518480,0.082169219851493835,0.11159999668598175,0.55290668388971642,0.54634121134486746,-0.0009848208817273441
recording_01,1,3,21568,10.7840000,32.3533481,0.082298852503299713,0.11169999837875366,0.55298378330607045,0.54639227690839409,-0.0009887259596514542
recording_01,1,3,21569,10.7845000,32.3548481,0.082421235740184784,0.11190000176429749,0.55305657111071616,0.54649440803544758,-0.00098432446129028675
recording_01,1,3,21570,10.7850000,32.3563482,0.082537233829498291,0.1120000034570694,0.55312556132930435,0.54654547359897432,-0.00098701315954950459
