sample_index,time_seconds,measured_ecg,predicted_ecg
4640,2.3200000,0.31310105323791504,0.34700000286102295
4641,2.3205000,0.31278970837593079,0.3458000123500824
4642,2.3210000,0.31234979629516602,0.34439998865127563
4643,2.3215000,0.31177690625190735,0.34279999136924744
4644,2.3220000,0.31106933951377869,0.34099999070167542
4645,2.3225000,0.31023004651069641,0.33910000324249268
4646,2.3230000,0.30925813317298889,0.33689999580383301
4647,2.3235000,0.30814927816390991,0.3345000147819519
4648,2.3240000,0.3068997859954834,0.33199998736381531
4649,2.3245000,0.30550974607467651,0.32919999957084656
4650,2.3250000,0.30398103594779968,0.3262999951839447
4651,2.3255000,0.30230948328971863,0.32319998741149902
4652,2.3260000,0.30049234628677368,0.31990000605583191
4653,2.3265000,0.29853513836860657,0.31650000810623169
4654,2.3270000,0.29644444584846497,0.31290000677108765
4655,2.3275000,0.29422390460968018,0.30910000205039978
4656,2.3280000,0.2918737530708313,0.30509999394416809
4657,2.3285000,0.28939855098724365,0.30099999904632568
4658,2.3290000,0.28680667281150818,0.29670000076293945
4659,2.3295000,0.28409591317176819,0.29229998588562012
4660,2.3300000,0.28125870227813721,0.28769999742507935
4661,2.3305000,0.27829384803771973,0.28299999237060547
4662,2.3310000,0.27520269155502319,0.27820000052452087
4663,2.3315000,0.27198886871337891,0.27320000529289246
4664,2.3320000,0.26865801215171814,0.26800000667572021
4665,2.3325000,0.26521509885787964,0.26280000805854797
4666,2.3330000,0.2616649866104126,0.25740000605583191
4667,2.3335000,0.25800466537475586,0.25189998745918274
4668,2.3340000,0.25422829389572144,0.24629999697208405
4669,2.3345000,0.25033968687057495,0.24060000479221344
4670,2.3350000,0.2463441789150238,0.23469999432563782
4671,2.3355000,0.24224168062210083,0.22879999876022339
4672,2.3360000,0.23803751170635223,0.22280000150203705
4673,2.3365000,0.23373956978321075,0.21660000085830688
4674,2.3370000,0.22935205698013306,0.21040000021457672
4675,2.3375000,0.22488489747047424,0.20409999787807465
4676,2.3380000,0.22034932672977448,0.19769999384880066
4677,2.3385000,0.21574497222900391,0.19130000472068787
4678,2.3390000,0.21106341481208801,0.18469999730587006
4679,2.3395000,0.2063039243221283,0.17810000479221344
4680,2.3400000,0.20147168636322021,0.17149999737739563
4681,2.3405000,0.19656673073768616,0.1648000031709671
4682,2.3410000,0.1915876567363739,0.15809999406337738
4683,2.3415000,0.18653687834739685,0.15129999816417694
4684,2.3420000,0.18141940236091614,0.1445000022649765
4685,2.3425000,0.17624002695083618,0.13760000467300415
4686,2.3430000,0.17100232839584351,0.13079999387264252
4687,2.3435000,0.16570885479450226,0.12389999628067017
4688,2.3440000,0.16036063432693481,0.11710000038146973
